tasks,status
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Laundry,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
Main_meal,Partner1
